PC,FCI,GES,LiNGAM
0.86410401,0.747822174,0.790567932,0.619777924
0.903955913,0.636964196,0.717371402,0.651756776
0.896026274,0.640183164,0.784363388,0.628792084
0.856555663,0.592378883,0.850684486,0.716760042
0.877946991,0.58626672,0.791053016,0.640006966
0.84593429,0.653906004,0.686006617,0.454011525
0.836072788,0.570508057,0.740431318,0.711282687
0.847303885,0.743881612,0.746127984,0.634588317
0.810791533,0.474356662,0.817787924,0.612065482
0.825528489,0.565512686,0.77852136,0.667146116
0.916673155,0.723857742,0.820755699,0.697996297
0.904460073,0.725530746,0.805922939,0.68254002
0.89410143,0.773743267,0.770617864,0.535784173
0.848372779,0.606232656,0.768190064,0.508174833
0.806591479,0.689056777,0.851578257,0.49831979
0.903574586,0.615437649,0.797767761,0.636336932
0.890997993,0.582470873,0.763755345,0.707236284
0.878280729,0.478466135,0.787235334,0.590962365
0.856846282,0.714233328,0.762491005,0.596653955
0.9277455,0.754666327,0.7661372,0.709759641
0.827783623,0.537122118,0.738719923,0.575979107
0.875138858,0.59223447,0.825607352,0.68636646
0.92883773,0.691362302,0.79820784,0.650019576
0.836116916,0.611430514,0.673013155,0.471277334
0.862030554,0.642486696,0.765374875,0.702231467
0.855518586,0.701276317,0.783700713,0.694819399
0.842722163,0.553559015,0.845007645,0.67492402
0.895192012,0.64507393,0.826342194,0.714642778
0.925444194,0.739673877,0.832537815,0.721476517
0.887612736,0.736399043,0.773048885,0.707840154
0.89877193,0.779139194,0.824621606,0.510904427
0.882727855,0.64939599,0.78059148,0.551300699
0.836523262,0.706215078,0.885304836,0.472341965
0.887692715,0.641480699,0.738406607,0.579059394
0.874622332,0.551854111,0.767507807,0.692158858
0.894368644,0.477943875,0.778499631,0.602072013
0.894442356,0.74796003,0.829291665,0.645741899
0.90678195,0.693986871,0.757080742,0.690111459
0.871502125,0.576843839,0.726972909,0.590860094
0.853491639,0.555187733,0.80686775,0.648351988
0.861114466,0.546241494,0.774788645,0.619932511
0.833009454,0.645380171,0.670371977,0.508085047
0.849871071,0.557719646,0.762135509,0.722724045
0.834145492,0.672585757,0.736703905,0.626630306
0.844807896,0.674686748,0.820236858,0.736619338
0.856818182,0.627556699,0.812811542,0.677815476
0.925500126,0.718932921,0.783023544,0.677117588
0.875679016,0.727196074,0.753160821,0.69141948
0.874406292,0.765461916,0.746933956,0.505254065
0.874728967,0.621227548,0.759929271,0.583266208
0.835200155,0.707062193,0.882314692,0.482549651
0.882971805,0.609045438,0.724098743,0.556297089
0.887005468,0.612187366,0.753146269,0.660794313
0.874341478,0.523329463,0.788629848,0.670556121
0.863813891,0.687981255,0.789019786,0.641361335
0.907358168,0.717260532,0.756512902,0.690492018
0.852619312,0.566508031,0.738868499,0.568860132
0.843745063,0.576587259,0.807392207,0.595157348
0.891846761,0.653067543,0.800953006,0.653733974
0.870096964,0.674790788,0.738212876,0.525393879
0.848219781,0.573043172,0.711564693,0.675731242
0.865076022,0.731033949,0.791983029,0.722474472
0.835668355,0.58479814,0.837587516,0.662917451
0.833506813,0.563927699,0.777987795,0.660625278
0.931496239,0.624906593,0.798138186,0.713896293
0.885971792,0.715060049,0.782689543,0.719643819
0.901539388,0.773869048,0.791402322,0.585041552
0.840594757,0.551269227,0.759665124,0.520366186
0.828465135,0.653518537,0.847338687,0.474028569
0.854912516,0.579723407,0.747303491,0.585852346
0.884670224,0.5047645,0.764584482,0.721469065
0.880531411,0.486772034,0.764006007,0.58007304
0.863936926,0.691802683,0.770594822,0.595576147
0.894888357,0.747143575,0.74950908,0.686813007
0.824953492,0.439783245,0.719403017,0.597439088
0.833475398,0.54939533,0.818076555,0.675345277
0.882731805,0.637784546,0.776370839,0.678982041
0.862949346,0.68306386,0.739044282,0.462096485
0.854649807,0.626383792,0.763033981,0.700929287
0.844977379,0.719313388,0.773016221,0.71539706
0.832526688,0.494832307,0.795481177,0.665662681
0.849642831,0.63570904,0.771030678,0.670034365
0.906064131,0.73161469,0.801675328,0.661695649
0.870404677,0.722427627,0.767597325,0.694720695
0.884310408,0.774226811,0.807970164,0.574913519
0.857158964,0.582296337,0.792947345,0.543061209
0.814135528,0.740339097,0.888940592,0.455219274
0.880342091,0.610241276,0.764729892,0.585077009
0.900705313,0.657277593,0.759443118,0.669328739
0.902044865,0.502820267,0.77653854,0.587400945
0.881568505,0.735758682,0.823573625,0.586063726
0.920900547,0.827753032,0.775053376,0.718479367
0.855820958,0.637967914,0.731710233,0.593828221
0.890120224,0.617596414,0.865539316,0.729312694
0.906432677,0.686742869,0.78797605,0.655072796
0.838996112,0.67175785,0.692890922,0.488207525
0.833101753,0.476896963,0.760492173,0.653712198
0.859836967,0.74933459,0.76315826,0.671194904
0.84325674,0.586577655,0.851525762,0.636425016
0.858052037,0.620777946,0.811011031,0.704195286
0.912449827,0.632087275,0.828127449,0.721500077
0.901322996,0.783101388,0.819457055,0.708982431
0.859367749,0.761852657,0.787646593,0.541150346
0.860136989,0.644851531,0.75108999,0.528290967
0.843709298,0.645925986,0.895889835,0.460776169
0.879036532,0.496578572,0.740633626,0.54466419
0.879130371,0.630028217,0.805129832,0.647231136
0.88071356,0.528967258,0.768548212,0.607003885
0.8606072,0.722320621,0.773210116,0.623598897
0.906510025,0.731111496,0.744305777,0.742678589
0.841408077,0.542418301,0.739568282,0.615278768
0.890317019,0.65459235,0.858366683,0.671323882
0.889707612,0.6882469,0.780582301,0.639005473
0.817626634,0.650370648,0.694398945,0.532106164
0.892478355,0.673510154,0.839060264,0.757613101
0.842632635,0.705484139,0.739807785,0.711711998
0.859530445,0.604782947,0.819796838,0.714197731
0.852855401,0.587631518,0.811888662,0.696166085
0.905766328,0.680118572,0.774092336,0.658381423
0.919516436,0.790609856,0.798922853,0.715179049
0.914927515,0.840954878,0.838877489,0.566596114
0.846740966,0.610345112,0.775431757,0.527580518
0.80200131,0.643040338,0.890369943,0.484177117
0.877913148,0.610978029,0.74960924,0.553300236
0.850219871,0.602062921,0.772308724,0.737848028
0.871036927,0.498939685,0.764633431,0.598944169
0.890980102,0.721638918,0.794541853,0.631212344
0.914037366,0.693157366,0.714584707,0.687351225
0.865045604,0.575080867,0.715368672,0.598312922
0.895385452,0.646951254,0.816853545,0.6236729
0.872385057,0.681450984,0.821613135,0.600270076
0.835860423,0.706437864,0.717187821,0.54331493
0.817916721,0.616792482,0.732576156,0.692325997
0.866386076,0.729757921,0.746190847,0.61901491
0.823217522,0.546646526,0.788464133,0.602360513
0.854101427,0.608206313,0.826633186,0.666260751
0.917597154,0.720770591,0.820733038,0.712878174
0.878444264,0.708383046,0.801962969,0.735722646
0.881320994,0.785608142,0.795374541,0.552355108
0.844642622,0.59832359,0.780244848,0.576700063
0.835337838,0.677468282,0.849803868,0.489430982
0.881831607,0.625442928,0.747546492,0.580556082
0.878466977,0.559457296,0.765598212,0.717663179
0.858788038,0.51748403,0.775719935,0.499164582
0.847181557,0.680978078,0.813674725,0.646721985
0.890020159,0.689574778,0.723939407,0.660440634
0.879926642,0.611339869,0.750582942,0.591085316
0.89562675,0.670605299,0.845872703,0.689269175
0.876524357,0.587068248,0.79454255,0.612910445
0.860986412,0.687964673,0.704423393,0.478782445
0.832710587,0.494916113,0.741955928,0.676436787
0.86431386,0.793297674,0.78657873,0.677039088
0.794166382,0.40307485,0.774897763,0.564437197
0.882401022,0.650669979,0.833072692,0.739185527
0.925117326,0.668972703,0.856396524,0.664460226
0.882462157,0.704305775,0.782545254,0.702538441
0.874817313,0.793131868,0.811528307,0.552915055
0.875458263,0.705967082,0.840949667,0.565207991
0.80728719,0.680211969,0.8649513,0.499054787
0.872739709,0.562098576,0.745987631,0.579842653
0.87779328,0.596481662,0.770638458,0.667019931
0.86346998,0.48965663,0.757295435,0.556961068
0.859486034,0.696875628,0.76473381,0.587219981
0.898548842,0.713686032,0.748893261,0.720708392
0.885086191,0.470432713,0.743832835,0.605798709
0.848269293,0.564575199,0.811691927,0.670319053
0.855011488,0.578101308,0.777568292,0.640827193
0.845550396,0.684123771,0.700941103,0.451287138
0.807738653,0.503751814,0.731837954,0.622133854
0.855344739,0.739253754,0.742090305,0.647098175
0.816869541,0.550904806,0.809720619,0.604232088
0.837206918,0.549011922,0.769461344,0.725352055
0.925901051,0.708002308,0.78499308,0.704168915
0.876814761,0.748594196,0.757612633,0.690830543
0.883458345,0.774071735,0.768019558,0.553184826
0.836204958,0.53472278,0.75016728,0.574198231
0.828570289,0.690461852,0.901135418,0.482892395
0.891256431,0.620757693,0.741142838,0.606673874
0.916972268,0.625619407,0.815556766,0.722778303
0.869812576,0.514637721,0.763642426,0.562275858
0.864471596,0.726205559,0.764019031,0.591132101
0.893980975,0.676423825,0.734350392,0.702122668
0.887520422,0.581717951,0.765367126,0.672008874
0.870711941,0.60969888,0.846034861,0.740423517
0.906593735,0.702098233,0.805670778,0.672467048
0.85001935,0.610276611,0.728443869,0.493261803
0.879995765,0.613906441,0.820068829,0.72022212
0.855312441,0.748153743,0.748784364,0.630014188
0.835617975,0.587534899,0.829291954,0.597973597
0.838349656,0.615878352,0.800677976,0.697256882
0.935018701,0.73913149,0.843010098,0.728799886
0.86738576,0.737249915,0.804874642,0.688584672
0.896063264,0.753105779,0.789115635,0.540994981
0.81557844,0.555273866,0.731753668,0.573221903
0.826161005,0.664214486,0.868474198,0.506388625
0.916475278,0.68492674,0.781725897,0.616227881
0.885749848,0.56437099,0.796811323,0.750722057
0.877445574,0.500803905,0.782742323,0.630551769
0.857529058,0.678117593,0.797165403,0.639297998
0.910314422,0.657052163,0.77379578,0.643501344
0.893311924,0.684457191,0.766449236,0.659752668
0.885199833,0.624876706,0.849683498,0.715648686
0.866216828,0.592772054,0.809160811,0.657082533
0.883055341,0.650790211,0.725329856,0.517758815
0.800668552,0.568274231,0.742159118,0.654429375
0.862690353,0.736846958,0.780344829,0.634814402
0.862068376,0.601671299,0.882435299,0.651827533
0.848501428,0.611197064,0.807497472,0.674112304
0.913142263,0.757163333,0.780797306,0.639144722
0.897864102,0.773831191,0.779212466,0.724100162
0.871747137,0.798438645,0.760527075,0.510154819
0.853937005,0.647475982,0.759151967,0.527549417
0.830031811,0.640032474,0.891471404,0.526610425
0.908501221,0.667811747,0.744758873,0.565261454
0.833217942,0.568577119,0.730191788,0.651682026
0.86678026,0.483985426,0.777317179,0.609349876
0.871860333,0.727628205,0.783084991,0.631482878
0.943716108,0.763617889,0.780388978,0.757156565
0.8781917,0.552173741,0.744693426,0.624966019
0.901425307,0.670826812,0.854086226,0.665966648
0.887184289,0.646505032,0.803020608,0.664141231
0.823599839,0.630043902,0.684298266,0.469563079
0.856450578,0.60076162,0.779506924,0.708413336
0.879452569,0.770857234,0.829593546,0.680236085
0.837334758,0.543640619,0.859561399,0.597777748
0.870539604,0.660184923,0.82899149,0.74176334
0.925907225,0.758154098,0.82409793,0.719059275
0.930125676,0.800762036,0.844112951,0.680044778
0.856309647,0.712682244,0.799753577,0.477988504
0.836208672,0.52180736,0.753715857,0.521196605
0.831896144,0.701072883,0.817457311,0.418380075
0.866235808,0.521517752,0.701410702,0.563074504
0.90086354,0.61020147,0.768952238,0.674781945
0.85536186,0.475575616,0.76713252,0.640626216
0.861653152,0.690178167,0.785170294,0.61762494
0.930689223,0.717832876,0.753206219,0.734818182
0.880188076,0.660531291,0.764261267,0.642927653
0.881397695,0.625681698,0.856860325,0.729622223
0.881738042,0.641639503,0.797665104,0.648836448
0.860155229,0.635827228,0.742546168,0.470079576
0.889708263,0.644790646,0.753720889,0.692688527
0.842425332,0.681235196,0.791863964,0.642276986
0.861646457,0.587523452,0.848964442,0.722956986
0.832492805,0.610251022,0.782471415,0.66530142
0.934575454,0.648880693,0.823076628,0.718691866
0.91259292,0.751323551,0.838082627,0.792856791
0.882952647,0.767944617,0.792534449,0.51926121
0.829821287,0.565657303,0.763347025,0.550639544
0.819453872,0.688321384,0.874858864,0.5421188
0.860168785,0.466351847,0.770442407,0.561389038
0.890240082,0.590118367,0.803308402,0.776368012
0.883267009,0.517585397,0.780328623,0.56581541
0.874640769,0.76203997,0.807820506,0.645940354
0.910510652,0.717491112,0.77493714,0.735508846
0.870561569,0.597635836,0.737248943,0.566146325
0.877821827,0.613831373,0.831836398,0.695274239
0.908252538,0.641780131,0.787700001,0.689096255
0.847135793,0.664795763,0.695397839,0.524330812
0.87749106,0.682390204,0.823231088,0.764005346
0.868458498,0.774509027,0.789769566,0.729344782
0.8506612,0.479476266,0.812984214,0.646116313
0.860042198,0.642436184,0.800724858,0.656395627
0.914932597,0.648954118,0.784836196,0.672116106
0.903759961,0.763232898,0.801814661,0.721064609
0.870566423,0.75454839,0.778744123,0.521382273
0.858292096,0.65137602,0.8086187,0.540891342
0.826435035,0.666117098,0.880387346,0.492109332
0.883026048,0.67380983,0.712272131,0.526841113
0.868867495,0.621156762,0.738023921,0.6317876
0.866215341,0.557734311,0.773519333,0.591070184
0.876819321,0.766693601,0.799241928,0.608897983
0.922722146,0.805194866,0.748379518,0.724169137
0.880996782,0.588404048,0.753789024,0.627247154
0.862045204,0.640895295,0.833289526,0.675906722
0.876365141,0.628049231,0.792466117,0.678393205
0.880428707,0.691630894,0.745859719,0.497233631
0.843289877,0.610050186,0.756592508,0.705399681
0.840790325,0.707266336,0.763812047,0.661250881
0.827841807,0.551149941,0.83056891,0.668847839
0.836004728,0.562074004,0.759648229,0.651251639
0.911704275,0.705180931,0.810698878,0.690221509
0.908656489,0.783283471,0.821303275,0.710460933
0.918531255,0.79337764,0.793959732,0.573284686
0.832667767,0.623341632,0.776313758,0.504171628
0.827245956,0.631250366,0.857338068,0.478720988
0.860686315,0.559672411,0.731313691,0.576144778
0.910861716,0.577607265,0.795387549,0.700145168
0.890706825,0.492444338,0.737825599,0.618654491
0.877269768,0.756631216,0.779994198,0.65750372
0.911388625,0.697977516,0.75949197,0.710141333
0.837117738,0.483543812,0.762540395,0.544136327
0.830272519,0.54190921,0.768045217,0.623672163
0.884812225,0.627433902,0.802236653,0.659855748
0.84065943,0.682093434,0.673513394,0.463287358
0.877116362,0.671021399,0.744507205,0.739869824
0.870154063,0.702917962,0.778416675,0.676842938
